id,question_type,question,options,vocabulary,answer,explanation
0,글의 목적,"Dear Rosydale City Marathon Racers, We are really grateful to all of you who have signed up for the 10th Rosydale City Marathon that was scheduled for this coming Saturday at 10 a.m. Unfortunately, as you may already know, the weather forecast says that there is going to be a downpour throughout the race day. We truly hoped that the race would go smoothly. However, it is likely that the heavy rain will make the roads too slippery and dangerous for the racers to run safely. As a result, we have decided to cancel the race. We hope you understand and we promise to hold another race in the near future. Sincerely, Martha Kingsley Race Manager","1 마라톤 경기 취소 사실을 공지하려고,2 마라톤 경기 사전 행사 참여를 독려하려고,3 마라톤 경기 참가비 환불 절차를 설명하려고,4 마라톤 경기 참여 시 규칙 준수를 당부하려고,5 마라톤 경기 진행에 따른 도로 통제를 안내하려고",,1,
1,글의 분위기/심경,"It was Valentine’s Day on Friday and Peter was certain that his wife, Amy, was going to love his surprise. Peter had spent a long time searching online for an event that would be a new way to spend time with Amy. He had finally found the perfect thing for her. She often told him that she liked to go to places she had never visited before, and he was absolutely sure that she would love going to the new, five-star restaurant downtown. He smiled as he called the restaurant and asked for a reservation for Friday. Unfortunately, his smile quickly disappeared when he was told that the restaurant was fully reserved. “That’s too bad,” he said quietly. “I thought that I had found the right place.","1 relaxed → indifferent,2 confident → disappointed,3 confused → satisfied,4 jealous → discouraged,5 embarrassed → joyful",,2,
2,글의 주장,"We almost universally accept that playing video games is at best a pleasant break from a student’s learning and more often what prevents a student from accomplishing their goals. Games catch and hold attention in a way that few things can. And yet once they have our focus, they rarely seem to offer anything meaningful to help students grow in their lives outside the games. While this may be true for many games, we are too easily ignoring a valuable tool that could be used to enhance productivity instead of derailing it. Rather, it is desirable that we develop games that connect to the learning outcomes we want for our students. This will enable educators to take advantage of games’ attention commanding capacities and allow our students to enjoy their games while learning.","1 학습 효과 증진에 활용될 수 있는 게임을 개발해야 한다.,2 교육 현장에서 학습과 게임 활동을 적절하게 분배해야 한다.,3 학습 활동에 게임이 초래하는 집중력 저하를 경계해야 한다.,4 여가 시간에 게임을 활용함으로써 학습 효율을 향상해야 한다.,5 게임의 부정적 영향을 줄이기 위해 학습 공동체가 노력해야 한다.",,1,
3,함의 추론,"The position of the architect rose during the Roman Empire, as architecture symbolically became a particularly important political statement. Cicero classed the architect with the physician and the teacher and Vitruvius spoke of “so great a profession as this.” Marcus Vitruvius Pollio, a practicing architect during the rule of Augustus Caesar, recognized that architecture requires both practical and theoretical knowledge, and he listed the disciplines he felt the aspiring architect should master: literature and writing, draftsmanship, mathematics, history, philosophy, music, medicine, law, and astronomy― a curriculum that still has much to recommend it. All of this study was necessary, he argued, because architects who have aimed at acquiring manual skill without scholarship have never been able to reach a position of authority to correspond to their plans, while those who have relied only upon theories and scholarship were obviously “hunting the shadow, not the substance.","1 seeking abstract knowledge emphasized by architectural tradition,2 discounting the subjects necessary to achieve architectural goals,3 pursuing the ideals of architecture without the practical skills,4 prioritizing architecture’s material aspects over its artistic ones,5 following historical precedents without regard to current standards",,3,
4,글의 요지,"The ability to understand emotions― to have a diverse emotion vocabulary and to understand the causes and consequences of emotion― is particularly relevant in group settings. Individuals who are skilled in this domain are able to express emotions, feelings and moods accurately and thus, may facilitate clear communication between co-workers. Furthermore, they may be more likely to act in ways that accommodate their own needs as well as the needs of others (i.e. cooperate). In a group conflict situation, for example, a member with a strong ability to understand emotion will be able to express how he feels about the problem and why he feels this way. He also should be able to take the perspective of the other group members and understand why they are reacting in a certain manner. Appreciation of differences creates an arena for open communication and promotes constructive conflict resolution and improved group functioning.","1 집단 구성원 간 갈등 해소를 위해 감정 조절이 중요하다.,2 감정 이해 능력은 집단 내 원활한 소통과 협력을 촉진한다.,3 타인에 대한 공감 능력은 자신의 감정 표현 능력을 향상한다.,4 감정 관련 어휘에 대한 지식은 공감 능력 발달의 기반이 된다.,5 자신의 감정 상태에 대한 이해는 사회성 함양에 필수적 요소이다.",,2,
5,글의 주제,"The arrival of the Industrial Age changed the relationship among time, labor, and capital. Factories could produce around the clock, and they could do so with greater speed and volume than ever before. A machine that runs twelve hours a day will produce more widgets than one that runs for only eight hours per day― and a machine that runs twenty-four hours per day will produce the most widgets of all. As such, at many factories, the workday is divided into eight-hour shifts, so that there will always be people on hand to keep the widget machines humming. Industrialization raised the potential value of every single work hour― the more hours you worked, the more widgets you produced, and the more money you made and thus wages became tied to effort and production. Labor, previously guided by harvest cycles, became clock-oriented, and society started to reorganize around new principles of productivity."", ""보기"":""1 shift in the work-time paradigm brought about by industrialization,2 effects of standardizing production procedures on labor markets,3 influence of industrialization on the machine-human relationship,4 efficient ways to increase the value of time in the Industrial Age,5 problems that excessive work hours have caused for laborers.","1 shift in the work-time paradigm brought about by industrialization,2 effects of standardizing production procedures on labor markets,3 influence of industrialization on the machine-human relationship,4 efficient ways to increase the value of time in the Industrial Age,5 problems that excessive work hours have caused for laborers",widget: 제품,1,
6,글의 제목,"The selfie resonates not because it is new, but because it expresses, develops, expands, and intensifies the long history of the self-portrait. The self-portrait showed to others the status of the person depicted. In this sense, what we have come to call our own “image”― the interface of the way we think we look and the way others see us― is the first and fundamental object of global visual culture. The selfie depicts the drama of our own daily performance of ourselves in tension with our inner emotions that may or may not be expressed as we wish. At each stage of the self-portrait’s expansion, more and more people have been able to depict themselves. Today’s young, urban, networked majority has reworked the history of the self-portrait to make the selfie into the first visual signature of the new era.","1 Are Selfies Just a Temporary Trend in Art History?,2 Fantasy or Reality: Your Selfie Is Not the Real You,3 The Selfie: A Symbol of Self-oriented Global Culture,4 The End of Self-portraits: How Selfies Are Taking Over,5 Selfies, the Latest Innovation in Representing Ourselves","resonate: 공명(共鳴)하다, depict: 그리다",5,
7,도표 이해,"The graph above shows the percentages of women employed behind the scenes on the top 100 U.S. films by role in 2020, 2021, and 2022. ① For each of the three years, the percentage of women employed as producers on the top 100 U.S. films was the highest as compared with the percentages of each of the other three roles. ② The percentage of women employed as directors on the top 100 U.S. films in 2021 was lower than in 2020 but higher than in 2022. ③ The percentage of women employed as writers on the top 100 U.S. films increased by 4 percentage points from 2020 to 2021 and by 1 percentage point from 2021 to 2022. ④ The percentage of women employed as editors on the top 100 U.S. films was less than 20% in each of the three years. ⑤ In 2022, the percentage of women employed as producers on the top 100 U.S. films was the same as that in 2020."", ""보기"":""1 For each of the three years, the percentage of women employed as producers on the top 100 U.S. films was the highest as compared with the percentages of each of the other three roles.,2 The percentage of women employed as directors on the top 100 U.S. films in 2021 was lower than in 2020 but higher than in 2022.,3 The percentage of women employed as writers on the top 100 U.S. films increased by 4 percentage points from 2020 to 2021 and by 1 percentage point from 2021 to 2022.,4 The percentage of women employed as editors on the top 100 U.S. films was less than 20% in each of the three years.,5 In 2022, the percentage of women employed as producers on the top 100 U.S. films was the same as that in 2020.",,,4,
8,내용 일치/불일치,"Dick Enberg was one of America’s most beloved sports broadcasters. He was born in Michigan in 1935. In the early 1960s, he became an assistant professor at San Fernando Valley State College, where he also served as a coach of its baseball team. Afterwards, he began a full-time sportscasting career in Los Angeles. In 1973, he became the first U.S. sportscaster ever to visit China. He joined NBC Sports in 1975 and remained with the network for about 25 years, covering such big events as the Olympics. He later worked for other major sports broadcasting stations. He made his last live broadcast in 2016 and died the following year at the age of 82. He served as Chairman of the American Sportscaster Association for more than three decades. Enberg was also a best-selling writer and won Emmy Awards as a sportscaster, a writer, and a producer.","1 Michigan에서 태어났다.,2 대학 야구팀 코치였다.,3 중국을 방문한 첫 미국인 스포츠 캐스터였다.,4 마지막 생방송 후 3년 뒤에 사망하였다.,5 Emily Awards를 수상하였다.",,4,
9,실용문 일치/불일치,Adenville City Pass Card The Adenville City Pass Card is a public transportation card for tourists visiting Adenville. Service Range ∙Adenville-based subway lines ∙Adenville-licensed buses ※ This card cannot be used for city tour buses. Card Type Price 1-Day 3-Day 5-Day $10 $25 Additional Benefit 10% off admission for major tourist attractions $40 ※Unused cards are refundable within 30 days of the purchase date. Purchase Information ∙Physical cards can be purchased at subway stations. ∙Mobile cards can be purchased on the A-Transit app.,"1 관광객을 위한 대중교통 카드이다.,2 시티 투어 버스에는 사용할 수 없다.,3 5일 패스 카드에만 주요 관광지 입장료 할인 혜택이 제공된다.,4 5일 패스 카드에만 주요 관광지 입장료 할인 혜택이 제공된다.,5 모바일 카드는 A-Transit앱에서 구입할 수 있다.",,3,
